scanning 100000 domains with 80 workers
  500 scanned, 0 errors
  1000 scanned, 0 errors
  1500 scanned, 0 errors
  2000 scanned, 0 errors
  2500 scanned, 0 errors
  3000 scanned, 0 errors
  3500 scanned, 0 errors
  4000 scanned, 0 errors
  4500 scanned, 0 errors
  5000 scanned, 0 errors
  5500 scanned, 0 errors
  6000 scanned, 0 errors
  6500 scanned, 0 errors
  7000 scanned, 0 errors
  7500 scanned, 0 errors
  8000 scanned, 0 errors
  8500 scanned, 0 errors
  9000 scanned, 0 errors
  9500 scanned, 0 errors
  10000 scanned, 0 errors
  10500 scanned, 0 errors
  11000 scanned, 0 errors
  11500 scanned, 0 errors
  12000 scanned, 0 errors
  12500 scanned, 0 errors
  13000 scanned, 0 errors
  13500 scanned, 0 errors
  14000 scanned, 0 errors
  14500 scanned, 0 errors
  15000 scanned, 0 errors
  15500 scanned, 0 errors
  16000 scanned, 0 errors
  16500 scanned, 0 errors
  17000 scanned, 0 errors
  17500 scanned, 0 errors
  18000 scanned, 0 errors
  18500 scanned, 0 errors
  19000 scanned, 0 errors
  19500 scanned, 0 errors
  20000 scanned, 0 errors
  20500 scanned, 0 errors
  21000 scanned, 0 errors
  21500 scanned, 0 errors
  22000 scanned, 0 errors
  22500 scanned, 0 errors
  23000 scanned, 0 errors
  23500 scanned, 0 errors
  24000 scanned, 0 errors
  24500 scanned, 0 errors
  25000 scanned, 0 errors
  25500 scanned, 0 errors
  26000 scanned, 0 errors
  26500 scanned, 0 errors
  27000 scanned, 0 errors
  27500 scanned, 0 errors
  28000 scanned, 0 errors
  28500 scanned, 0 errors
  29000 scanned, 0 errors
  29500 scanned, 0 errors
  30000 scanned, 0 errors
  30500 scanned, 0 errors
  31000 scanned, 0 errors
  31500 scanned, 0 errors
  32000 scanned, 0 errors
  32500 scanned, 0 errors
  33000 scanned, 0 errors
  33500 scanned, 0 errors
  34000 scanned, 0 errors
  34500 scanned, 0 errors
  35000 scanned, 0 errors
  35500 scanned, 0 errors
  36000 scanned, 0 errors
  36500 scanned, 0 errors
  37000 scanned, 0 errors
  37500 scanned, 0 errors
  38000 scanned, 0 errors
  38500 scanned, 0 errors
  39000 scanned, 0 errors
  39500 scanned, 0 errors
  40000 scanned, 0 errors
  40500 scanned, 0 errors
  41000 scanned, 0 errors
  41500 scanned, 0 errors
  42000 scanned, 0 errors
  42500 scanned, 0 errors
  43000 scanned, 0 errors
  43500 scanned, 0 errors
  44000 scanned, 0 errors
  44500 scanned, 0 errors
  45000 scanned, 0 errors
  45500 scanned, 0 errors
  46000 scanned, 0 errors
  46500 scanned, 0 errors
  47000 scanned, 0 errors
  47500 scanned, 0 errors
  48000 scanned, 0 errors
  48500 scanned, 0 errors
  49000 scanned, 0 errors
  49500 scanned, 0 errors
  50000 scanned, 0 errors
  50500 scanned, 0 errors
  51000 scanned, 0 errors
  51500 scanned, 0 errors
  52000 scanned, 0 errors
  52500 scanned, 0 errors
  53000 scanned, 0 errors
  53500 scanned, 0 errors
  54000 scanned, 0 errors
  54500 scanned, 0 errors
  55000 scanned, 0 errors
  55500 scanned, 0 errors
  56000 scanned, 0 errors
  56500 scanned, 0 errors
  57000 scanned, 0 errors
  57500 scanned, 0 errors
  58000 scanned, 0 errors
  58500 scanned, 0 errors
  59000 scanned, 0 errors
  59500 scanned, 0 errors
  60000 scanned, 0 errors
  60500 scanned, 0 errors
  61000 scanned, 0 errors
  61500 scanned, 0 errors
  62000 scanned, 0 errors
  62500 scanned, 0 errors
  63000 scanned, 0 errors
  63500 scanned, 0 errors
  64000 scanned, 0 errors
  64500 scanned, 0 errors
  65000 scanned, 0 errors
  65500 scanned, 0 errors
  66000 scanned, 0 errors
  66500 scanned, 0 errors
  67000 scanned, 0 errors
  67500 scanned, 0 errors
  68000 scanned, 0 errors
  68500 scanned, 0 errors
  69000 scanned, 0 errors
  69500 scanned, 0 errors
  70000 scanned, 0 errors
  70500 scanned, 0 errors
  71000 scanned, 0 errors
  71500 scanned, 0 errors
  72000 scanned, 0 errors
  72500 scanned, 0 errors
  73000 scanned, 0 errors
  73500 scanned, 0 errors
  74000 scanned, 0 errors
  74500 scanned, 0 errors
  75000 scanned, 0 errors
  75500 scanned, 0 errors
  76000 scanned, 0 errors
  76500 scanned, 0 errors
  77000 scanned, 0 errors
  77500 scanned, 0 errors
  78000 scanned, 0 errors
  78500 scanned, 0 errors
  79000 scanned, 0 errors
  79500 scanned, 0 errors
  80000 scanned, 0 errors
  80500 scanned, 0 errors
  81000 scanned, 0 errors
  81500 scanned, 0 errors
  82000 scanned, 0 errors
  82500 scanned, 0 errors
  83000 scanned, 0 errors
  83500 scanned, 0 errors
  84000 scanned, 0 errors
  84500 scanned, 0 errors
  85000 scanned, 0 errors
  85500 scanned, 0 errors
  86000 scanned, 0 errors
  86500 scanned, 0 errors
  87000 scanned, 0 errors
  87500 scanned, 0 errors
  88000 scanned, 0 errors
  88500 scanned, 0 errors
  89000 scanned, 0 errors
  89500 scanned, 0 errors
  90000 scanned, 0 errors
  90500 scanned, 0 errors
  91000 scanned, 0 errors
  91500 scanned, 0 errors
  92000 scanned, 0 errors
  92500 scanned, 0 errors
  93000 scanned, 0 errors
  93500 scanned, 0 errors
  94000 scanned, 0 errors
  94500 scanned, 0 errors
  95000 scanned, 0 errors
  95500 scanned, 0 errors
  96000 scanned, 0 errors
  96500 scanned, 0 errors
  97000 scanned, 0 errors
  97500 scanned, 0 errors
  98000 scanned, 0 errors
